Level,Date and Time,Source,Event ID,Task Category,Log,Computer,
Error,10/6/2017 8:48,EventCreate,1,None,Application,djkvdihost172.jakarta01.com,JAKARTA01\Guestisd30  
Error,10/6/2017 8:47,EventCreate,1,None,Application,djkvdihost283.jakarta01.com,JAKARTA01\Amelia  
Error,10/6/2017 8:48,EventCreate,1,None,Application,djkvdihost570.jakarta01.com,JAKARTA01\ahmad  
Error,10/6/2017 8:47,EventCreate,1,None,Application,djkvdihost155.jakarta01.com,JAKARTA01\haryadi  
Error,10/6/2017 8:47,Application Error,1000,-100,Application,djkvdihost283.jakarta01.com,"Faulting application name: EXCEL.EXE, version: 15.0.4919.1000, time stamp: 0x58c7ab0f
Faulting module name: EXCEL.EXE, version: 15.0.4919.1000, time stamp: 0x58c7ab0f
Exception code: 0xc0000005
Fault offset: 0x00072187
Faulting process id: 0x1220
Faulting application start time: 0x01d33e4103aa4b54
Faulting application path: C:\Program Files\Microsoft Office\Office15\EXCEL.EXE
Faulting module path: C:\Program Files\Microsoft Office\Office15\EXCEL.EXE
Report Id: 53322e63-aa38-11e7-b4de-0050569f630a"
Error,10/6/2017 8:47,EventCreate,1,None,Application,djkvdihost564.jakarta01.com,JAKARTA01\karmenia  
Error,10/6/2017 8:46,EventCreate,1,None,Application,djkvdihost021.jakarta01.com,JAKARTA01\elestari  
Error,10/6/2017 8:46,EventCreate,1,None,Application,djkvdihost434.jakarta01.com,JAKARTA01\andre cahyono  
Error,10/6/2017 8:46,EventCreate,1,None,Application,djkvdihost326.jakarta01.com,JAKARTA01\nurhayani  
Error,10/6/2017 8:46,EventCreate,1,None,Application,djkvdihost337.jakarta01.com,JAKARTA01\MahendraR  
Error,10/6/2017 8:45,EventCreate,1,None,Application,djkvdihost078.jakarta01.com,JAKARTA01\primaningtyas  
Error,10/6/2017 8:45,EventCreate,1,None,Application,djkvdihost022.jakarta01.com,JAKARTA01\Sunaryo  
Error,10/6/2017 8:45,WSH,1,None,Application,djkvdihost326.jakarta01.com,"CN=Nurhayani Purwitasari password will expire in 3 day(s) at 10/9/2017 7:23:45 AM

Press CTRL + ALT + DEL and select the ""Change a password"" option."
Error,10/6/2017 8:45,EventCreate,1,None,Application,djkvdihost012.jakarta01.com,JAKARTA01\GUESTISD28  
Error,10/6/2017 8:45,EventCreate,1,None,Application,djkvdihost862.jakarta01.com,JAKARTA01\kubo  
Error,10/6/2017 8:45,Application Error,1000,-100,Application,djkvdihost862.jakarta01.com,"Faulting application name: OUTLOOK.EXE, version: 15.0.4919.1001, time stamp: 0x58d20482
Faulting module name: OUTLOOK.EXE, version: 15.0.4919.1001, time stamp: 0x58d20482
Exception code: 0xc0000005
Fault offset: 0x008924c4
Faulting process id: 0x1a70
Faulting application start time: 0x01d33e3eaa8ca28f
Faulting application path: C:\Program Files\Microsoft Office\Office15\OUTLOOK.EXE
Faulting module path: C:\Program Files\Microsoft Office\Office15\OUTLOOK.EXE
Report Id: f829f0f7-aa37-11e7-8568-0050569f6fbc"
Error,10/6/2017 8:44,EventCreate,1,None,Application,djkvdihost007.jakarta01.com,JAKARTA01\meltsaury  
Error,10/6/2017 8:45,WSH,1,None,Application,djkvdihost326.jakarta01.com,"CN=Nurhayani Purwitasari password will expire in 3 day(s) at 10/9/2017 7:23:45 AM

Press CTRL + ALT + DEL and select the ""Change a password"" option."
Error,10/6/2017 8:44,EventCreate,1,None,Application,djkvdihost859.jakarta01.com,JAKARTA01\hirano  
Error,10/6/2017 8:44,EventCreate,1,None,Application,djkvdihost137.jakarta01.com,JAKARTA01\guestISD50  
Error,10/6/2017 8:43,EventCreate,1,None,Application,djkvdihost685.jakarta01.com,JAKARTA01\christianrs  
Error,10/6/2017 8:43,Application Error,1000,-100,Application,djkvdihost685.jakarta01.com,"Faulting application name: OUTLOOK.EXE, version: 15.0.4919.1001, time stamp: 0x58d20482
Faulting module name: OUTLOOK.EXE, version: 15.0.4919.1001, time stamp: 0x58d20482
Exception code: 0xc0000005
Fault offset: 0x008924c4
Faulting process id: 0x1ef4
Faulting application start time: 0x01d33e3bc476c151
Faulting application path: C:\Program Files\Microsoft Office\Office15\OUTLOOK.EXE
Faulting module path: C:\Program Files\Microsoft Office\Office15\OUTLOOK.EXE
Report Id: bf499c09-aa37-11e7-9673-0050569f30ac"
Error,10/6/2017 8:43,EventCreate,1,None,Application,djkvdihost899.jakarta01.com,JAKARTA01\adi prasetio  
Error,10/6/2017 8:43,EventCreate,1,None,Application,djkvdihost007.jakarta01.com,JAKARTA01\meltsaury  
Error,10/6/2017 8:42,EventCreate,1,None,Application,djkvdihost216.jakarta01.com,JAKARTA01\ali pasya  
Error,10/6/2017 8:42,EventCreate,1,None,Application,djkvdihost017.jakarta01.com,JAKARTA01\fathur  
Error,10/6/2017 8:42,EventCreate,1,None,Application,djkvdihost261.jakarta01.com,JAKARTA01\clarissa  
Error,10/6/2017 8:41,EventCreate,1,None,Application,djkvdihost435.jakarta01.com,JAKARTA01\payogi  
Error,10/6/2017 8:41,EventCreate,1,None,Application,djkvdihost724.jakarta01.com,JAKARTA01\GuestISD49  
Error,10/6/2017 8:41,EventCreate,1,None,Application,djkvdihost727.jakarta01.com,JAKARTA01\dwihan  
Error,10/6/2017 8:41,EventCreate,1,None,Application,djkvdihost059.jakarta01.com,JAKARTA01\eka  
Error,10/6/2017 8:40,EventCreate,1,None,Application,djkvdihost822.jakarta01.com,JAKARTA01\guestISD44  
Error,10/6/2017 8:40,EventCreate,1,None,Application,djkvdihost228.jakarta01.com,JAKARTA01\Kartina  
Error,10/6/2017 8:39,EventCreate,1,None,Application,djkvdihost062.jakarta01.com,JAKARTA01\inna  
Error,10/6/2017 8:39,EventCreate,1,None,Application,djkvdihost007.jakarta01.com,JAKARTA01\clarissa  
Error,10/6/2017 8:39,EventCreate,1,None,Application,djkvdihost030.jakarta01.com,JAKARTA01\nurfadila  
Error,10/6/2017 8:39,EventCreate,1,None,Application,djkvdihost222.jakarta01.com,JAKARTA01\diena  
